trial,time,drone_id,depot_id,pkg_id,agent_tw_earliest_time,agent_tw_latest_time,agent_tw_avail,reward,true_return_time,true_delivery_time,approx_travel_time,true_travel_time
0,0,dn1,1,pkg8,8.0,14.0,15,1000.0,12.0,8.0,1,4.0
0,0,dn2,1,pkg7,7.0,15.0,17,1000.0,26,13,2,13
0,0,dn3,1,pkg16,5.0,12.0,19,1000.0,14,7,7,7
0,0,dn4,2,pkg17,6.0,13.0,16,1000.0,46,23,3,23
0,0,dn5,2,pkg4,8.0,16.0,18,1000.0,34,17,2,17
0,0,dn6,2,pkg12,10.0,17.0,19,1000.0,22,11,2,11
0,0,dn7,3,pkg9,5.0,12.0,14,1000.0,12,6,2,6
0,0,dn8,3,pkg21,6.0,12.0,17,1000.0,30,15,5,15
0,0,dn9,3,pkg3,8.0,15.0,18,1000.0,22,11,3,11
0,0,dn10,4,pkg11,8.0,15.0,21,1000.0,32,16,6,16
0,0,dn13,5,pkg19,6.0,15.0,19,1000.0,9.0,6.0,4,3.0
0,0,dn14,5,pkg15,7.0,16.0,20,1000.0,12.0,7.0,4,5.0
0,0,dn15,5,pkg2,8.0,17.0,24,1000.0,20,10,7,10
0,2,dn11,4,pkg24,8.0,17.0,24,1000.0,32,17,7,15
0,9,dn13,5,pkg25,12.0,18.0,21,1000.0,15,12,3,3
0,12,dn1,1,pkg14,9.0,15.0,22,1000.0,24,18,7,6
0,12,dn7,3,pkg13,5.0,14.0,18,1000.0,24,18,4,6
0,12,dn14,5,pkg5,10.0,19.0,24,1000.0,20,16,5,4
0,14,dn3,1,pkg6,9.0,18.0,23,1000.0,46,30,5,16
0,14,dn12,4,pkg28,21.0,29.0,39,1000.0,34,24,10,10
0,15,dn13,5,pkg18,10.0,18.0,25,1000.0,37,26,7,11
0,22,dn6,2,pkg29,22.0,28.0,36,1000.0,48,35,8,13
0,22,dn9,3,pkg26,20.0,29.0,37,1000.0,60,41,8,19
0,23,dn14,5,pkg30,29.0,37.0,41,1000.0,31.0,29.0,4,2.0
0,25,dn1,1,pkg31,30.0,35.0,42,1000.0,67,46,7,21
0,26,dn7,3,pkg32,35.0,42.0,51,1000.0,54,40,9,14
0,29,dn2,1,pkg33,39.0,47.0,55,1000.0,46.0,39.0,8,7.0
0,32,dn8,3,pkg35,37.0,44.0,55,1000.0,40.0,37.0,11,3.0
0,32,dn10,4,pkg34,38.0,45.0,48,1000.0,60,46,3,14
0,34,dn5,2,pkg36,42.0,48.0,56,1000.0,56,45,8,11
0,38,dn11,4,pkg37,48.0,56.0,60,1000.0,88,63,4,25
0,41,dn8,3,pkg38,47.0,52.0,54,1000.0,52.0,47.0,2,5.0
0,44,dn13,5,pkg40,50.0,55.0,59,1000.0,55.0,50.0,4,5.0
0,46,dn4,2,pkg39,48.0,57.0,63,1000.0,66,56,6,10
0,46,dn12,4,pkg41,51.0,58.0,65,1000.0,78,62,7,16
0,50,dn6,2,pkg42,58.0,68.0,76,1000.0,98,74,8,24
0,51,dn2,1,pkg43,60.0,65.0,72,1000.0,63.0,60.0,7,3.0
0,55,dn3,1,pkg45,63.0,73.0,75,1000.0,79,67,2,12
0,56,dn5,2,pkg44,62.0,71.0,74,1000.0,82,69,3,13
0,59,dn7,3,pkg46,65.0,74.0,84,1000.0,85,72,10,13
0,60,dn10,4,pkg47,70.0,80.0,84,1000.0,80,70,4,10
0,63,dn2,1,pkg48,70.0,79.0,84,1000.0,79,71,5,8
0,66,dn4,2,pkg49,74.0,80.0,87,1000.0,132,99,7,33
0,67,dn1,1,pkg50,76.0,82.0,91,1000.0,82.0,76.0,9,6.0
0,72,dn8,3,pkg52,79.0,85.0,96,1000.0,102,87,11,15
0,73,dn9,3,pkg53,82.0,92.0,96,1000.0,85.0,82.0,4,3.0
0,75,dn13,5,pkg54,83.0,88.0,91,1000.0,85.0,83.0,3,2.0
0,77,dn14,5,pkg55,86.0,95.0,103,1000.0,94.0,86.0,8,8.0
0,78,dn12,4,pkg51,76.0,86.0,90,1000.0,134,106,4,28
0,79,dn2,1,pkg57,85.0,92.0,97,1000.0,115,97,5,18
0,82,dn5,2,pkg56,83.0,91.0,100,1000.0,116,99,9,17
0,85,dn1,1,pkg59,90.0,97.0,106,1000.0,93.0,90.0,9,3.0
0,85,dn7,3,pkg58,87.0,96.0,105,1000.0,107,96,9,11
0,86,dn3,1,pkg60,91.0,99.0,109,1000.0,122,104,10,18
0,88,dn9,3,pkg61,93.0,102.0,109,1000.0,95.0,93.0,7,2.0
0,89,dn10,4,pkg62,98.0,107.0,118,1000.0,117,103,11,14
0,93,dn13,5,pkg64,100.0,106.0,117,1000.0,117,105,11,12
0,95,dn9,3,pkg63,99.0,109.0,120,1000.0,127,111,11,16
0,95,dn11,4,pkg65,101.0,111.0,114,1000.0,121,108,3,13
0,98,dn6,2,pkg67,104.0,113.0,123,1000.0,130,114,10,16
1,0,dn1,1,pkg7,8.0,13.0,16,1000.0,22,11,3,11
1,0,dn2,1,pkg19,5.0,13.0,18,1000.0,36,18,5,18
1,0,dn3,1,pkg6,7.0,12.0,20,1000.0,9.0,7.0,8,2.0
1,0,dn4,2,pkg13,5.0,11.0,12,1000.0,42,21,1,21
1,0,dn5,2,pkg8,9.0,16.0,20,1000.0,24,12,4,12
1,0,dn6,2,pkg1,9.0,15.0,21,1000.0,32,16,6,16
1,0,dn7,3,pkg12,6.0,14.0,16,1000.0,18,9,2,9
1,0,dn8,3,pkg4,9.0,14.0,20,1000.0,28,14,6,14
1,0,dn9,3,pkg18,6.0,12.0,20,1000.0,12,6,8,6
1,0,dn10,4,pkg10,5.0,12.0,13,1000.0,20,10,1,10
1,0,dn11,4,pkg16,9.0,15.0,18,1000.0,48,24,3,24
1,0,dn12,4,pkg22,8.0,15.0,20,1000.0,44,22,5,22
1,0,dn13,5,pkg3,10.0,15.0,16,1000.0,11.0,10.0,1,1.0
1,0,dn14,5,pkg21,6.0,15.0,20,1000.0,10.0,6.0,5,4.0
1,0,dn15,5,pkg14,5.0,15.0,26,1000.0,24,12,11,12
1,9,dn3,1,pkg5,9.0,17.0,23,1000.0,39,24,6,15
1,10,dn14,5,pkg24,11.0,17.0,20,1000.0,16,13,3,3
1,11,dn13,5,pkg26,17.0,27.0,31,1000.0,22.0,17.0,4,5.0
1,12,dn9,3,pkg25,14.0,22.0,24,1000.0,40,26,2,14
1,16,dn14,5,pkg28,20.0,28.0,31,1000.0,22.0,20.0,3,2.0
1,18,dn7,3,pkg30,20.0,28.0,37,1000.0,44,31,9,13
1,20,dn10,4,pkg31,24.0,30.0,36,1000.0,54,37,6,17
1,22,dn1,1,pkg27,14.0,24.0,30,1000.0,32,27,6,5
