trial,timestep,drone_id,pkg_id,actual_delivery_time,on_time,deadline,depot_lat,depot_lon,delivery_lat,delivery_lon
,6.0,dn7,pkg9,6,True,12.0,37.718779,-122.462401,37.724593591822114,-122.46880296639262
,6.0,dn13,pkg19,6.0,True,15.0,37.739611,-122.492203,37.75403656546103,-122.48264850982625
,7.0,dn3,pkg16,7,True,12.0,37.774524,-122.473656,37.748076849603585,-122.46812429027767
,7.0,dn14,pkg15,7.0,True,16.0,37.739611,-122.492203,37.751031283628706,-122.50660667426612
,8.0,dn1,pkg8,8.0,True,14.0,37.774524,-122.473656,37.77310115152999,-122.46926442558446
,10.0,dn15,pkg2,10,True,17.0,37.739611,-122.492203,37.76397890927038,-122.47551909649188
,11.0,dn6,pkg12,11,True,17.0,37.751751,-122.410654,37.746419003082046,-122.40830060980026
,11.0,dn9,pkg3,11,True,15.0,37.718779,-122.462401,37.72838348341742,-122.45628574200043
,12.0,dn13,pkg25,12,True,18.0,37.739611,-122.492203,37.72825929734949,-122.49491374553159
,13.0,dn2,pkg7,13,True,15.0,37.774524,-122.473656,37.77297376531437,-122.48100030583758
,15.0,dn8,pkg21,15,False,12.0,37.718779,-122.462401,37.72078662313689,-122.43770134140281
,16.0,dn10,pkg11,16,False,15.0,37.78929,-122.426797,37.78617584084239,-122.39642928745718
,16.0,dn14,pkg5,16,True,19.0,37.739611,-122.492203,37.72110224515376,-122.5012583440802
,17.0,dn5,pkg4,17,False,16.0,37.751751,-122.410654,37.74793880573911,-122.41549362388074
,17.0,dn11,pkg24,17,True,17.0,37.78929,-122.426797,37.7819346839751,-122.46092609050336
,18.0,dn1,pkg14,18,False,15.0,37.774524,-122.473656,37.795397416191435,-122.49324784765852
,18.0,dn7,pkg13,18,False,14.0,37.718779,-122.462401,37.71509764880479,-122.44272573307225
,23.0,dn4,pkg17,23,False,13.0,37.751751,-122.410654,37.74717182902261,-122.39749383060699
,24.0,dn12,pkg28,24,True,29.0,37.78929,-122.426797,37.7550877686739,-122.4545073307063
,26.0,dn13,pkg18,26,False,18.0,37.739611,-122.492203,37.74436939171663,-122.45791993991776
,29.0,dn14,pkg30,29.0,True,37.0,37.739611,-122.492203,37.75193717932337,-122.50039392565992
,30.0,dn3,pkg6,30,False,18.0,37.774524,-122.473656,37.779804506686716,-122.49454760697658
,35.0,dn6,pkg29,35,False,28.0,37.751751,-122.410654,37.76811518497074,-122.44656368868488
,37.0,dn8,pkg35,37.0,True,44.0,37.718779,-122.462401,37.7525444784627,-122.49530562304263
,39.0,dn2,pkg33,39.0,True,47.0,37.774524,-122.473656,37.748239398044326,-122.45537426130142
,40.0,dn7,pkg32,40,True,42.0,37.718779,-122.462401,37.71092895033288,-122.41720150451029
,41.0,dn9,pkg26,41,False,29.0,37.718779,-122.462401,37.70785453844362,-122.4256113681754
,45.0,dn5,pkg36,45,True,48.0,37.751751,-122.410654,37.77831741157994,-122.43222578081908
,46.0,dn1,pkg31,46,False,35.0,37.774524,-122.473656,37.789014175692756,-122.4450342285964
