trial,timestep,drone_id,pkg_id,actual_delivery_time,on_time,deadline,depot_lat,depot_lon,delivery_lat,delivery_lon
,6.0,dn5,pkg17,6.0,True,13.0,37.751751,-122.410654,37.74717182902261,-122.39749383060699
,6.0,dn14,pkg19,6.0,True,15.0,37.739611,-122.492203,37.75403656546103,-122.48264850982625
,7.0,dn13,pkg9,7,True,12.0,37.739611,-122.492203,37.724593591822114,-122.46880296639262
,7.0,dn15,pkg15,7.0,True,16.0,37.739611,-122.492203,37.751031283628706,-122.50660667426612
,8.0,dn1,pkg2,8.0,True,17.0,37.774524,-122.473656,37.76397890927038,-122.47551909649188
,8.0,dn10,pkg11,8,True,15.0,37.78929,-122.426797,37.78617584084239,-122.39642928745718
,8.0,dn11,pkg8,8,True,14.0,37.78929,-122.426797,37.77310115152999,-122.46926442558446
,8.0,dn8,pkg3,8.0,True,15.0,37.718779,-122.462401,37.72838348341742,-122.45628574200043
,8.0,dn7,pkg1,8.0,True,18.0,37.718779,-122.462401,37.72261678304087,-122.44873008423035
,9.0,dn2,pkg6,9.0,True,18.0,37.774524,-122.473656,37.779804506686716,-122.49454760697658
,9.0,dn3,pkg16,9,True,12.0,37.774524,-122.473656,37.748076849603585,-122.46812429027767
,9.0,dn6,pkg21,9,True,12.0,37.751751,-122.410654,37.72078662313689,-122.43770134140281
,10.0,dn9,pkg5,10.0,True,19.0,37.718779,-122.462401,37.72110224515376,-122.5012583440802
,11.0,dn12,pkg4,11,True,16.0,37.78929,-122.426797,37.74793880573911,-122.41549362388074
,12.0,dn1,pkg7,12,True,15.0,37.774524,-122.473656,37.77297376531437,-122.48100030583758
,14.0,dn4,pkg13,14,True,14.0,37.751751,-122.410654,37.71509764880479,-122.44272573307225
,14.0,dn7,pkg18,14,True,18.0,37.718779,-122.462401,37.74436939171663,-122.45791993991776
,19.0,dn14,pkg20,19,True,19.0,37.739611,-122.492203,37.71406446408974,-122.48649463311172
,20.0,dn5,pkg10,20,False,17.0,37.751751,-122.410654,37.71560464297584,-122.4048093933317
,20.0,dn15,pkg24,20,False,18.0,37.739611,-122.492203,37.77012252174613,-122.48260155414405
,20.0,dn1,pkg29,20,True,24.0,37.774524,-122.473656,37.79013418922843,-122.48597883037037
,21.0,dn10,pkg23,21,False,16.0,37.78929,-122.426797,37.76760178929665,-122.40478135630521
,22.0,dn8,pkg22,22,False,19.0,37.718779,-122.462401,37.74331731172092,-122.42259864779801
,22.0,dn7,pkg31,22,True,25.0,37.718779,-122.462401,37.73311182627455,-122.44237192548196
,24.0,dn2,pkg26,24,False,22.0,37.774524,-122.473656,37.78779183173866,-122.49740629959383
,26.0,dn9,pkg32,26.0,True,33.0,37.718779,-122.462401,37.712766442989945,-122.46476600160845
,27.0,dn13,pkg28,27,True,27.0,37.739611,-122.492203,37.767506323964994,-122.45350035456525
,28.0,dn6,pkg30,28,True,28.0,37.751751,-122.410654,37.71092895033288,-122.41720150451029
,28.0,dn3,pkg33,28.0,True,36.0,37.774524,-122.473656,37.79132358504207,-122.50534036743737
,29.0,dn11,pkg12,29,False,17.0,37.78929,-122.426797,37.746419003082046,-122.40830060980026
,30.0,dn7,pkg35,30,True,37.0,37.718779,-122.462401,37.719682351661746,-122.47178138734303
,31.0,dn12,pkg34,31,True,38.0,37.78929,-122.426797,37.766155323153434,-122.39893000521056
,35.0,dn4,pkg36,35,True,41.0,37.751751,-122.410654,37.734875269836024,-122.43070386345627
,36.0,dn14,pkg38,36.0,True,41.0,37.739611,-122.492203,37.737097136518194,-122.478357880537
,36.0,dn10,pkg39,36.0,True,45.0,37.78929,-122.426797,37.78378830472371,-122.41214893228266
,38.0,dn15,pkg37,38.0,True,46.0,37.739611,-122.492203,37.75104478533977,-122.4992617947086
,38.0,dn7,pkg40,38.0,True,43.0,37.718779,-122.462401,37.7317923829472,-122.44252255608808
,40.0,dn1,pkg41,40,True,45.0,37.774524,-122.473656,37.75569030334844,-122.50391607786989
,43.0,dn2,pkg42,43.0,True,53.0,37.774524,-122.473656,37.775421711448374,-122.5037250457096
,48.0,dn6,pkg43,48.0,True,53.0,37.751751,-122.410654,37.75032821994479,-122.43161343679205
,49.0,dn3,pkg44,49.0,True,58.0,37.774524,-122.473656,37.78112364947348,-122.44380818273119
,53.0,dn13,pkg45,53,True,61.0,37.739611,-122.492203,37.75978904236926,-122.48698809190846
,56.0,dn7,pkg48,56.0,True,65.0,37.718779,-122.462401,37.73006619425571,-122.48316566693336
,58.0,dn4,pkg46,58,True,60.0,37.751751,-122.410654,37.74430022738946,-122.45162146410243
,59.0,dn6,pkg51,59.0,True,69.0,37.751751,-122.410654,37.7530325373381,-122.4105151980614
,60.0,dn5,pkg49,60.0,True,66.0,37.751751,-122.410654,37.72956783001306,-122.39694223412886
,62.0,dn8,pkg50,62.0,True,68.0,37.718779,-122.462401,37.73668931995107,-122.47915585510064
,65.0,dn2,pkg47,65,True,67.0,37.774524,-122.473656,37.764025935267746,-122.41833198540691
,65.0,dn9,pkg53,65.0,True,75.0,37.718779,-122.462401,37.72093916037311,-122.43539568760424
,68.0,dn10,pkg56,68,True,73.0,37.78929,-122.426797,37.775287358299856,-122.47106509881318
,68.0,dn13,pkg57,68.0,True,75.0,37.739611,-122.492203,37.74211794435576,-122.4820159765975
,70.0,dn14,pkg52,70,False,68.0,37.739611,-122.492203,37.71566842688528,-122.4481294252824
,71.0,dn7,pkg54,71,False,70.0,37.718779,-122.462401,37.72258277035883,-122.41829824918135
,71.0,dn5,pkg59,71.0,True,78.0,37.751751,-122.410654,37.741017184612126,-122.41508258380884
,72.0,dn11,pkg55,72,True,77.0,37.78929,-122.426797,37.7588284976213,-122.40444468814366
,75.0,dn1,pkg58,75,True,78.0,37.774524,-122.473656,37.749759786484454,-122.44784022419489
,77.0,dn9,pkg61,77,True,85.0,37.718779,-122.462401,37.71438580748872,-122.4114475172631
,78.0,dn6,pkg60,78,True,80.0,37.751751,-122.410654,37.7226288615066,-122.43949185697713
,82.0,dn8,pkg62,82.0,True,91.0,37.718779,-122.462401,37.709134468252984,-122.41740109473652
,83.0,dn4,pkg63,83,True,91.0,37.751751,-122.410654,37.711642151256385,-122.4112253665577
,88.0,dn7,pkg64,88.0,True,94.0,37.718779,-122.462401,37.720020827655,-122.49008983597177
,97.0,dn5,pkg66,97,True,101.0,37.751751,-122.410654,37.79328473711511,-122.40358835857548
,99.0,dn9,pkg65,99,True,100.0,37.718779,-122.462401,37.73554886171999,-122.41290884531966
,5.0,dn13,pkg10,5,True,11.0,37.739611,-122.492203,37.76396584314322,-122.46609402743299
,6.0,dn11,pkg18,6.0,True,15.0,37.78929,-122.426797,37.77852759195831,-122.43892549601718
,6.0,dn12,pkg7,6,True,12.0,37.78929,-122.426797,37.789564945019855,-122.46207256559617
,6.0,dn15,pkg9,6,True,14.0,37.739611,-122.492203,37.72734328741693,-122.50702235899556
,6.0,dn5,pkg15,6.0,True,12.0,37.751751,-122.410654,37.749613405421314,-122.402961944709
,6.0,dn6,pkg6,6.0,True,16.0,37.751751,-122.410654,37.74891174659689,-122.39945674527176
,7.0,dn1,pkg21,7.0,True,13.0,37.774524,-122.473656,37.766154380021256,-122.4641951782916
,7.0,dn2,pkg3,7,True,12.0,37.774524,-122.473656,37.75583673663461,-122.45932318018976
,8.0,dn9,pkg19,8.0,True,15.0,37.718779,-122.462401,37.70745402836607,-122.45568901581314
,9.0,dn10,pkg13,9.0,True,15.0,37.78929,-122.426797,37.77375384726836,-122.4304849166491
,9.0,dn7,pkg17,9.0,True,18.0,37.718779,-122.462401,37.74547980182459,-122.43773729001954
,9.0,dn8,pkg2,9.0,True,17.0,37.718779,-122.462401,37.711427689841884,-122.46313121449592
,9.0,dn5,pkg22,9,True,16.0,37.751751,-122.410654,37.740953847644064,-122.4054733311117
,10.0,dn3,pkg14,10.0,True,18.0,37.774524,-122.473656,37.76979268859311,-122.49846239321845
,12.0,dn4,pkg11,12,True,15.0,37.751751,-122.410654,37.71978010435263,-122.41166286868085
,13.0,dn11,pkg8,13,True,15.0,37.78929,-122.426797,37.782718247210845,-122.418254050641
,14.0,dn14,pkg16,14,False,13.0,37.739611,-122.492203,37.7086916125414,-122.47295296661916
,14.0,dn9,pkg5,14,True,16.0,37.718779,-122.462401,37.71671973364279,-122.47490609484815
,18.0,dn6,pkg25,18.0,True,26.0,37.751751,-122.410654,37.71688984322046,-122.42320848423843
,18.0,dn13,pkg1,18,False,14.0,37.739611,-122.492203,37.75802349091719,-122.49289608224912
,18.0,dn1,pkg4,18,False,13.0,37.774524,-122.473656,37.79040508665306,-122.44176657966544
,19.0,dn2,pkg26,19,True,28.0,37.774524,-122.473656,37.79097427987298,-122.49405766273273
,21.0,dn5,pkg23,21,True,22.0,37.751751,-122.410654,37.723779866859566,-122.44329736040174
,22.0,dn7,pkg27,22.0,True,30.0,37.718779,-122.462401,37.72079701700069,-122.47081446906725
,24.0,dn15,pkg20,24,False,17.0,37.739611,-122.492203,37.7548185124528,-122.45243594511535
,25.0,dn8,pkg24,25,False,21.0,37.718779,-122.462401,37.738293417981,-122.50103612561132
,25.0,dn3,pkg28,25.0,True,31.0,37.774524,-122.473656,37.7797652832351,-122.50341470698137
,27.0,dn9,pkg29,27.0,True,34.0,37.718779,-122.462401,37.73277533722936,-122.50572858727521
,27.0,dn7,pkg30,27.0,True,32.0,37.718779,-122.462401,37.72626344823268,-122.46586151490543
,28.0,dn12,pkg12,28,False,14.0,37.78929,-122.426797,37.786816854048176,-122.47725911222182
,30.0,dn4,pkg31,30.0,True,39.0,37.751751,-122.410654,37.74874983577915,-122.43999617815476
,35.0,dn1,pkg32,35,True,38.0,37.774524,-122.473656,37.732987413478,-122.48680651096302
,39.0,dn7,pkg33,39,True,46.0,37.718779,-122.462401,37.70902497629307,-122.40700252679234
,42.0,dn5,pkg35,42.0,True,50.0,37.751751,-122.410654,37.75297405599168,-122.41430586110276
,42.0,dn6,pkg34,42.0,True,49.0,37.751751,-122.410654,37.76437681609236,-122.40722028384552
,45.0,dn9,pkg36,45,True,52.0,37.718779,-122.462401,37.71797349695922,-122.4942335040327
,46.0,dn2,pkg37,46.0,True,56.0,37.774524,-122.473656,37.78039218699631,-122.49509932377809
,46.0,dn4,pkg38,46.0,True,55.0,37.751751,-122.410654,37.76048797934707,-122.40526964386686
,51.0,dn8,pkg40,51,True,58.0,37.718779,-122.462401,37.711884982729664,-122.48433029858565
,51.0,dn5,pkg43,51.0,True,59.0,37.751751,-122.410654,37.746876491702075,-122.40588374314417
,54.0,dn1,pkg42,54,True,62.0,37.774524,-122.473656,37.73298637313596,-122.47295402760295
,55.0,dn12,pkg41,55,True,57.0,37.78929,-122.426797,37.79210823342042,-122.48112947354527
,56.0,dn13,pkg44,56.0,True,64.0,37.739611,-122.492203,37.72345718503293,-122.46696016014303
,59.0,dn7,pkg46,59,True,63.0,37.718779,-122.462401,37.737062173798954,-122.46434869906271
,60.0,dn10,pkg39,60,True,62.0,37.78929,-122.426797,37.748280508379466,-122.41023242436496
,60.0,dn2,pkg45,60,True,60.0,37.774524,-122.473656,37.753101567878545,-122.46507417655187
,63.0,dn3,pkg47,63.0,True,71.0,37.774524,-122.473656,37.760378209457265,-122.48539728191594
,65.0,dn15,pkg48,65.0,True,75.0,37.739611,-122.492203,37.77734878082111,-122.48131855808609
,69.0,dn5,pkg49,69,True,72.0,37.751751,-122.410654,37.71591981116377,-122.39917068953457
,70.0,dn4,pkg50,70.0,True,78.0,37.751751,-122.410654,37.77443632394533,-122.42435062636555
,72.0,dn6,pkg52,72.0,True,82.0,37.751751,-122.410654,37.733726178034985,-122.44415579500885
,73.0,dn12,pkg54,73.0,True,80.0,37.78929,-122.426797,37.78295624023835,-122.43341663804992
,74.0,dn13,pkg55,74.0,True,80.0,37.739611,-122.492203,37.723076980995394,-122.48863720589866
,75.0,dn11,pkg51,75,True,79.0,37.78929,-122.426797,37.75232479838059,-122.4201429101515
,77.0,dn7,pkg53,77,True,78.0,37.718779,-122.462401,37.709567102911656,-122.40886038274488
,80.0,dn14,pkg58,80.0,True,86.0,37.739611,-122.492203,37.746637075741,-122.49677475920637
,84.0,dn10,pkg59,84,True,92.0,37.78929,-122.426797,37.77122975115086,-122.46181107364143
,86.0,dn4,pkg57,86,True,89.0,37.751751,-122.410654,37.728462189209665,-122.4036728757088
,90.0,dn12,pkg56,90,False,82.0,37.78929,-122.426797,37.76507954159114,-122.40029489688422
