timestep,drone,package,earliest_time_attempt,latest_time_attemp,success_return
0.0,dn1,pkg1,8.0,18.0,32
0.0,dn1,pkg2,8.0,17.0,20
0.0,dn1,pkg3,8.0,15.0,27
0.0,dn1,pkg4,8.0,16.0,29
0.0,dn1,pkg5,10.0,19.0,33
0.0,dn1,pkg6,9.0,18.0,23
0.0,dn1,pkg7,7.0,15.0,17
0.0,dn1,pkg8,8.0,14.0,15
0.0,dn1,pkg9,5.0,12.0,24
0.0,dn1,pkg10,7.0,17.0,36
0.0,dn1,pkg11,8.0,15.0,30
0.0,dn1,pkg12,10.0,17.0,31
0.0,dn1,pkg13,5.0,14.0,30
0.0,dn1,pkg14,9.0,15.0,22
0.0,dn1,pkg15,7.0,16.0,25
0.0,dn1,pkg16,5.0,12.0,19
0.0,dn1,pkg17,6.0,13.0,29
0.0,dn1,pkg18,10.0,18.0,26
0.0,dn1,pkg19,6.0,15.0,21
0.0,dn1,pkg20,9.0,19.0,34
0.0,dn1,pkg21,6.0,12.0,27
0.0,dn1,pkg22,9.0,19.0,32
0.0,dn2,pkg1,8.0,18.0,32
0.0,dn2,pkg2,8.0,17.0,20
0.0,dn2,pkg3,8.0,15.0,27
0.0,dn2,pkg4,8.0,16.0,29
0.0,dn2,pkg5,10.0,19.0,33
0.0,dn2,pkg6,9.0,18.0,23
0.0,dn2,pkg7,7.0,15.0,17
0.0,dn2,pkg8,8.0,14.0,15
0.0,dn2,pkg9,5.0,12.0,24
0.0,dn2,pkg10,7.0,17.0,36
0.0,dn2,pkg11,8.0,15.0,30
0.0,dn2,pkg12,10.0,17.0,31
0.0,dn2,pkg13,5.0,14.0,30
0.0,dn2,pkg14,9.0,15.0,22
0.0,dn2,pkg15,7.0,16.0,25
0.0,dn2,pkg16,5.0,12.0,19
0.0,dn2,pkg17,6.0,13.0,29
0.0,dn2,pkg18,10.0,18.0,26
0.0,dn2,pkg19,6.0,15.0,21
0.0,dn2,pkg20,9.0,19.0,34
0.0,dn2,pkg21,6.0,12.0,27
0.0,dn2,pkg22,9.0,19.0,32
0.0,dn3,pkg1,8.0,18.0,32
0.0,dn3,pkg2,8.0,17.0,20
0.0,dn3,pkg3,8.0,15.0,27
0.0,dn3,pkg4,8.0,16.0,29
0.0,dn3,pkg5,10.0,19.0,33
0.0,dn3,pkg6,9.0,18.0,23
0.0,dn3,pkg7,7.0,15.0,17
0.0,dn3,pkg8,8.0,14.0,15
0.0,dn3,pkg9,5.0,12.0,24
0.0,dn3,pkg10,7.0,17.0,36
0.0,dn3,pkg11,8.0,15.0,30
0.0,dn3,pkg12,10.0,17.0,31
0.0,dn3,pkg13,5.0,14.0,30
0.0,dn3,pkg14,9.0,15.0,22
0.0,dn3,pkg15,7.0,16.0,25
0.0,dn3,pkg16,5.0,12.0,19
0.0,dn3,pkg17,6.0,13.0,29
0.0,dn3,pkg18,10.0,18.0,26
0.0,dn3,pkg19,6.0,15.0,21
0.0,dn3,pkg20,9.0,19.0,34
0.0,dn3,pkg21,6.0,12.0,27
0.0,dn3,pkg22,9.0,19.0,32
0.0,dn4,pkg1,8.0,18.0,28
0.0,dn4,pkg2,8.0,17.0,30
0.0,dn4,pkg3,8.0,15.0,26
0.0,dn4,pkg4,8.0,16.0,18
0.0,dn4,pkg5,10.0,19.0,38
0.0,dn4,pkg6,9.0,18.0,36
0.0,dn4,pkg7,7.0,15.0,30
0.0,dn4,pkg8,8.0,14.0,27
0.0,dn4,pkg9,5.0,12.0,25
0.0,dn4,pkg10,7.0,17.0,26
0.0,dn4,pkg11,8.0,15.0,24
0.0,dn4,pkg12,10.0,17.0,19
0.0,dn4,pkg13,5.0,14.0,25
0.0,dn4,pkg14,9.0,15.0,34
0.0,dn4,pkg15,7.0,16.0,34
0.0,dn4,pkg16,5.0,12.0,23
0.0,dn4,pkg17,6.0,13.0,16
0.0,dn4,pkg18,10.0,18.0,28
0.0,dn4,pkg19,6.0,15.0,29
0.0,dn4,pkg20,9.0,19.0,36
