timestep,drone,package,earliest_time_attempt,latest_time_attemp,success_return
0.0,dn1,pkg1,8.0,18.0,21
0.0,dn1,pkg2,8.0,17.0,30
0.0,dn1,pkg3,8.0,15.0,20
0.0,dn1,pkg4,8.0,16.0,18
0.0,dn1,pkg5,10.0,19.0,20
0.0,dn1,pkg6,9.0,18.0,37
0.0,dn1,pkg7,7.0,15.0,30
0.0,dn1,pkg8,8.0,14.0,28
0.0,dn2,pkg1,8.0,18.0,21
0.0,dn2,pkg2,8.0,17.0,30
0.0,dn2,pkg3,8.0,15.0,20
0.0,dn2,pkg4,8.0,16.0,18
0.0,dn2,pkg5,10.0,19.0,20
0.0,dn2,pkg6,9.0,18.0,37
0.0,dn2,pkg7,7.0,15.0,30
0.0,dn2,pkg8,8.0,14.0,28
0.0,dn3,pkg1,8.0,18.0,21
0.0,dn3,pkg2,8.0,17.0,30
0.0,dn3,pkg3,8.0,15.0,20
0.0,dn3,pkg4,8.0,16.0,18
0.0,dn3,pkg5,10.0,19.0,20
0.0,dn3,pkg6,9.0,18.0,37
0.0,dn3,pkg7,7.0,15.0,30
0.0,dn3,pkg8,8.0,14.0,28
0.0,dn4,pkg1,8.0,18.0,31
0.0,dn4,pkg2,8.0,17.0,19
0.0,dn4,pkg3,8.0,15.0,33
0.0,dn4,pkg4,8.0,16.0,31
0.0,dn4,pkg5,10.0,19.0,32
0.0,dn4,pkg6,9.0,18.0,27
0.0,dn4,pkg7,7.0,15.0,24
0.0,dn4,pkg8,8.0,14.0,16
0.0,dn5,pkg1,8.0,18.0,31
0.0,dn5,pkg2,8.0,17.0,19
0.0,dn5,pkg3,8.0,15.0,33
0.0,dn5,pkg4,8.0,16.0,31
0.0,dn5,pkg5,10.0,19.0,32
0.0,dn5,pkg6,9.0,18.0,27
0.0,dn5,pkg7,7.0,15.0,24
0.0,dn5,pkg8,8.0,14.0,16
